data,gasolio_eni,gasolio_bianche,benzina_eni,benzina_bianche
2026-05-06,2.047,2.034,1.955,1.912
2026-05-07,2.045,2.036,1.954,1.922
2026-05-08,2.039,2.032,1.951,1.932
2026-05-09,2.039,2.032,1.951,1.929
2026-05-10,2.039,2.032,1.951,1.929
2026-05-11,1.997,2.008,1.944,1.932
2026-05-12,1.995,2.005,1.994,1.927
2026-05-13,1.990,1.997,1.943,1.925
2026-05-14,1.987,1.989,1.943,1.926
2026-05-15,1.986,1.985,1.948,1.929
2026-05-16,1.986,1.985,1.948,1.929
2026-05-17,1.986,1.985,1.948,1.929
2026-05-18,1.982,1.979,1.950,1.934
2026-05-19,1.978,1.973,1.954,1.939
2026-05-20,1.987,1.971,1.965,1.943
2026-05-21,1.993,1.971,1.985,1.949
2026-05-22,1.991,1.970,1.991,1.968
2026-05-23,1.995,1.975,1.995,1.970
2026-05-24,1.995,1.975,1.995,1.970
2026-05-25,2.037,2.016,1.992,1.970
2026-05-26,2.046,2.023,1.993,1.959
2026-05-27,2.066,2.040,1.993,1.960
2026-05-28,2.059,2.039,1.989,1.959
2026-05-29,2.044,2.032,1.979,1.956
2026-05-30,2.044,2.032,1.979,1.956
2026-05-31,2.044,2.032,1.979,1.956
2026-06-01,2.001,2.003,1.947,1.941
2026-06-02,2.001,2.003,1.947,1.941
2026-06-03,1.990,1.994,1.937,1.936
2026-06-04,1.989,1.992,1.936,1.934
2026-06-05,1.987,1.985,1.934,1.930
